Time,,,Percentage Sliders,,,,,Intake,Mikromol/Second,,,Masses,gramm DW,,,Pools,Mikromol,,Rates,MirkoMol/Second,,
Days,Hours,Minutes,Leaf_percentage, Stem_percentage,Root_percentage,Starch_percentage,Seed_percentage,Water_in,Nitrate_in,Starch_in,Photon_in,Leaf_mass,Stem_mass,Root_mass,Seed_mass,Water_pool,Starch_pool,Nitrate_pool,Leaf_rate,Stem_rate,Root_rate,Seed_rate
0,0,12,0.0,0.0,100.0,-100.0,0,0.0,0.717948717948718,0.9,0,0.1,0.1,0.8,0,1000000.0,1000000.0,100000.0,0.0,0.0,0.014300325994407202,0
0,2,58,0.0,0.0,100.0,-100.0,0,0.0,0.7213874687433045,0.9,0,0.1,0.1,0.8040403706605624,0,1002396.3468782356,999784.2159999999,99208.93053114084,0.0,0.0,0.014228465650458658,0
0,13,37,0.0,0.0,100.0,-100.0,0,348822.3103958665,1.2851142062090286,0.9,0.0,0.1,0.1,1.43373021622484,0,1024337.3021622484,965984.536,96759.79627448438,0.0,0.0,0.007979367851818941,0
1,0,9,0.0,0.0,100.0,-100.0,0,605969.8077350755,1.608727444793526,0.9,0,0.1,0.1,1.7958891351028603,0,1027958.8913510286,931320.8559999999,95351.20469431845,0.0,0.0,0.0063702489045185905,0
1,10,57,0.0,0.0,100.0,-100.0,0,658601.0950726164,1.864773951928559,0.9,0.0,0.1,0.1,2.0827090138832833,0,1030827.0901388328,896933.6559999996,94235.63899866756,0.0,0.0,0.005492971278880265,0
1,21,42,0.0,0.0,100.0,-100.0,0,686690.7508966425,2.092402105931924,0.9,0,0.1,0.1,2.337983574390322,0,1033379.8357439032,861440.536,93242.76659426911,0.0,0.0,0.004893216924549591,0
2,8,6,0.0,0.0,100.0,-100.0,0,365751.94168335956,2.2843614054943617,0.9,0,0.1,0.1,2.553428899454946,0,1035534.2889945494,827813.656,92404.80719287613,0.0,0.0,0.004480352203254158,0
2,19,27,0.0,0.0,100.0,-100.0,0,178470.08933176514,2.472462295944491,0.9,0.0,0.1,0.1,2.764685185166863,0,1037646.8518516687,791802.136,91583.14076468811,0.0,0.0,0.004137997648667264,0
3,5,38,0.0,0.0,100.0,-100.0,0,73893.9216176098,2.6358327704540794,0.9,0,0.1,0.1,2.948376664740179,0,1039483.7666474017,757898.7760000005,90868.68570645893,0.0,0.0,0.0038801897099310953,0
3,8,56,0.0,0.0,100.0,-100.0,0,50727.75538482582,2.7935845277506046,0.9,0.0,1,1.0,3.1251888515356545,0,1059251.8885153565,723096.8560000008,90657.39938054945,0.0,0.0,0.03660662231629397,0
