date,temp 2m avg,precipitation,wind speed,maximum wind speed,wind direction,humidity,air pressure,global solar radiation
23.09.2022 01:00,5.93,0.00,0.52,2.01,57.07,100.00,1009.27,5.10
23.09.2022 02:00,4.90,0.00,0.36,1.17,112.24,100.00,1008.87,5.32
23.09.2022 03:00,4.20,0.00,0.89,1.54,72.11,100.00,1008.38,5.65
23.09.2022 04:00,4.40,0.00,0.88,1.71,57.38,100.00,1007.91,5.47
23.09.2022 05:00,4.50,0.00,0.51,1.54,82.29,100.00,1007.43,5.87
23.09.2022 06:00,5.07,0.00,0.96,1.90,96.16,100.00,1006.95,6.27
23.09.2022 07:00,5.63,0.00,1.02,2.27,74.30,99.17,1006.80,38.23
23.09.2022 08:00,9.05,0.00,1.04,2.18,79.77,82.33,1006.63,186.49
23.09.2022 09:00,12.98,0.00,1.29,2.09,101.72,63.83,1006.71,275.62
23.09.2022 10:00,15.52,0.00,1.27,2.18,96.14,53.83,1006.58,394.93
23.09.2022 11:00,17.92,0.00,1.08,2.27,190.32,46.00,1006.23,418.69
23.09.2022 12:00,18.90,0.00,1.71,4.41,201.32,41.17,1005.86,516.63
23.09.2022 13:00,19.52,0.00,2.08,5.15,200.26,38.00,1005.35,546.83
23.09.2022 14:00,19.73,0.00,2.25,5.33,174.43,36.50,1004.75,522.61
23.09.2022 15:00,19.17,0.00,1.84,4.58,181.70,38.00,1004.15,286.61
23.09.2022 16:00,18.78,0.00,1.54,3.47,179.48,39.17,1003.57,227.29
23.09.2022 17:00,17.95,0.00,1.54,4.13,166.50,41.00,1003.21,144.75
23.09.2022 18:00,15.38,0.00,0.58,1.80,166.08,56.17,1003.03,35.87
23.09.2022 19:00,11.85,0.00,0.12,0.12,215.59,79.50,1002.81,5.68
23.09.2022 20:00,11.07,0.00,0.22,1.16,164.30,88.17,1002.87,5.78
23.09.2022 21:00,10.63,0.00,0.12,0.12,194.75,93.50,1002.82,5.52
23.09.2022 22:00,10.27,0.00,0.19,0.95,165.32,96.50,1002.51,5.54
23.09.2022 23:00,10.22,0.00,0.33,1.16,148.49,97.33,1002.13,5.59
24.09.2022 00:00,10.00,0.00,0.21,0.95,164.65,98.33,1002.00,5.53
24.09.2022 01:00,10.03,0.00,0.35,0.95,109.12,98.83,1001.65,5.58
24.09.2022 02:00,10.00,0.00,0.20,0.95,179.27,99.17,1001.25,5.46
24.09.2022 03:00,10.00,0.00,0.34,1.33,204.12,100.00,1001.18,5.25
24.09.2022 04:00,9.43,0.00,0.20,0.79,182.48,100.00,1000.81,4.75
24.09.2022 05:00,8.03,0.00,0.28,1.16,171.92,100.00,1000.56,5.09
24.09.2022 06:00,7.55,0.00,0.20,0.95,187.88,100.00,1000.31,5.82
24.09.2022 07:00,7.92,0.00,0.54,2.08,218.60,100.00,1000.39,20.88
24.09.2022 08:00,9.75,0.00,0.67,1.33,253.41,95.50,1000.62,103.67
24.09.2022 09:00,12.32,0.00,0.59,1.71,227.89,82.17,1000.70,162.22
24.09.2022 10:00,14.92,0.00,1.02,2.08,242.74,68.83,1000.88,290.55
24.09.2022 11:00,17.48,0.00,0.93,2.17,140.13,55.67,1001.02,438.38
24.09.2022 12:00,19.48,0.00,1.14,2.27,143.36,44.67,1000.85,576.10
24.09.2022 13:00,19.67,0.00,1.19,2.71,134.93,43.00,1000.63,431.70
24.09.2022 14:00,20.68,0.00,1.34,3.02,161.92,41.67,1000.29,493.56
24.09.2022 22:00,,,,0.12,,,,
24.09.2022 23:00,11.83,,,,,100.00,,
25.09.2022 00:00,11.70,0.00,0.75,1.50,226.69,100.00,1001.00,5.23
25.09.2022 01:00,11.47,0.00,0.43,1.54,251.23,100.00,1000.90,4.79
25.09.2022 02:00,10.45,0.00,0.46,1.16,236.42,100.00,1000.78,4.99
