date,temp 2m avg,precipitation,wind speed,maximum wind speed,wind direction,humidity,air pressure,global solar radiation
20.03.2022 01:00,1.72,0.00,1.99,5.63,74.03,61.00,1025.44,4.30
20.03.2022 02:00,-0.93,0.00,0.70,3.76,149.54,71.00,1025.28,4.03
20.03.2022 03:00,-2.95,0.00,0.42,2.09,150.32,82.50,1024.76,6.13
20.03.2022 04:00,-2.02,0.00,1.18,3.67,106.55,79.33,1024.11,6.71
20.03.2022 05:00,-0.10,0.00,2.10,4.59,82.68,69.33,1023.74,5.01
20.03.2022 06:00,-0.58,0.00,1.76,4.59,82.54,71.00,1023.44,4.80
20.03.2022 07:00,-1.28,0.00,1.32,4.04,119.36,74.00,1023.40,19.26
20.03.2022 08:00,0.10,0.00,1.33,3.41,103.29,70.17,1023.58,144.87
20.03.2022 09:00,3.42,0.00,2.78,7.14,93.51,58.00,1023.57,316.18
20.03.2022 10:00,6.32,0.00,3.64,7.39,93.06,49.50,1023.35,459.89
20.03.2022 11:00,9.02,0.00,4.76,10.86,95.26,41.00,1022.84,545.41
20.03.2022 12:00,10.48,0.00,5.71,11.59,97.24,36.00,1022.29,602.22
20.03.2022 13:00,11.33,0.00,5.84,13.13,97.52,33.33,1021.97,616.21
20.03.2022 14:00,12.57,0.00,5.88,13.74,104.85,30.83,1021.27,585.01
20.03.2022 15:00,13.33,0.00,6.08,12.35,107.96,27.33,1020.72,494.72
20.03.2022 16:00,12.98,0.00,5.34,10.93,100.79,27.33,1020.75,378.17
20.03.2022 17:00,12.45,0.00,5.39,10.86,105.28,29.00,1020.67,233.33
20.03.2022 18:00,11.78,0.00,4.32,9.54,104.73,29.17,1020.54,88.48
20.03.2022 19:00,10.27,0.00,3.81,8.76,103.09,31.00,1020.54,10.91
20.03.2022 20:00,8.87,0.00,3.01,8.05,95.47,33.33,1020.87,3.01
20.03.2022 21:00,7.55,0.00,2.78,6.28,93.12,36.33,1021.28,3.46
20.03.2022 22:00,6.45,0.00,3.21,6.76,104.85,39.67,1021.36,3.43
20.03.2022 23:00,5.20,0.00,2.60,5.43,102.64,44.67,1021.46,4.05
21.03.2022 00:00,4.17,0.00,2.44,4.68,107.11,48.33,1021.55,3.79
21.03.2022 01:00,2.75,0.00,2.43,4.21,84.39,55.50,1021.56,4.13
21.03.2022 02:00,1.23,0.00,2.08,3.57,64.71,66.67,1021.36,4.74
21.03.2022 03:00,1.22,0.00,2.08,4.14,68.02,71.17,1021.29,5.08
21.03.2022 04:00,1.13,0.00,2.56,4.33,78.29,73.00,1021.23,4.70
21.03.2022 05:00,0.57,0.00,2.18,4.04,70.64,74.83,1021.16,4.52
21.03.2022 06:00,-0.20,0.00,2.31,4.21,64.56,78.33,1021.23,4.88
21.03.2022 07:00,-0.55,0.00,2.45,4.68,63.74,81.67,1021.53,25.60
21.03.2022 08:00,1.30,0.00,2.65,5.44,82.52,75.50,1021.92,147.63
21.03.2022 09:00,4.02,0.00,3.10,6.66,94.38,63.33,1022.14,312.23
21.03.2022 10:00,6.32,0.00,3.70,7.30,105.46,54.00,1022.33,447.62
21.03.2022 11:00,8.30,0.00,3.88,8.69,107.77,47.33,1022.19,533.08
21.03.2022 12:00,10.22,0.00,3.56,7.13,101.91,44.67,1021.97,586.23
21.03.2022 13:00,11.58,0.00,3.70,7.20,102.33,42.00,1021.72,604.63
21.03.2022 14:00,12.80,0.00,3.49,7.20,101.88,39.67,1021.38,571.89
21.03.2022 15:00,13.45,0.00,3.74,7.39,101.65,37.17,1021.08,489.05
21.03.2022 16:00,13.62,0.00,3.36,6.54,105.84,35.33,1020.85,382.82
21.03.2022 17:00,13.25,0.00,2.94,6.19,106.21,34.33,1020.67,237.61
21.03.2022 18:00,11.93,0.00,2.53,5.48,106.29,34.83,1020.68,87.40
21.03.2022 19:00,9.12,0.00,1.87,3.76,108.34,38.67,1020.76,10.07
21.03.2022 20:00,4.20,0.00,1.22,2.72,86.56,54.83,1021.02,4.40
21.03.2022 21:00,1.63,0.00,1.03,1.80,83.08,69.00,1021.27,5.41
21.03.2022 22:00,-0.95,0.00,0.38,1.54,91.55,81.83,1021.44,6.02
21.03.2022 23:00,-2.47,0.00,0.53,1.54,70.95,90.83,1021.39,6.42
22.03.2022 00:00,-3.10,0.00,0.37,1.33,100.50,96.17,1021.28,6.65
22.03.2022 01:00,-3.70,0.00,0.37,1.33,105.92,99.00,1021.24,6.60
22.03.2022 02:00,-3.90,0.00,0.31,0.96,130.58,99.67,1021.24,6.50
22.03.2022 03:00,-3.87,0.00,0.88,2.14,83.40,99.83,1021.10,6.58
22.03.2022 04:00,-3.78,0.00,0.73,1.90,82.30,98.83,1020.96,6.59
22.03.2022 05:00,-4.52,0.00,0.78,2.15,78.87,99.83,1020.91,6.05
22.03.2022 06:00,-5.22,0.00,0.28,0.96,98.53,100.00,1020.92,6.74
22.03.2022 07:00,-5.33,0.00,0.62,1.71,142.56,99.83,1021.12,39.57
22.03.2022 08:00,0.32,0.00,0.49,2.09,132.17,80.17,1021.38,193.73
22.03.2022 09:00,5.35,0.00,1.27,2.94,81.47,64.83,1021.80,339.97
22.03.2022 10:00,9.60,0.00,1.74,3.10,81.02,48.67,1021.95,478.27
22.03.2022 11:00,13.45,0.00,2.50,4.41,66.41,37.17,1021.73,560.75
22.03.2022 12:00,15.60,0.00,2.75,4.96,72.53,30.50,1021.35,617.75
22.03.2022 13:00,16.52,0.00,2.93,6.28,91.20,26.83,1020.96,632.90
22.03.2022 14:00,17.02,0.00,3.49,6.37,80.97,26.17,1020.39,602.25
22.03.2022 15:00,17.70,0.00,3.06,6.18,85.32,25.33,1019.86,524.13
22.03.2022 16:00,17.37,0.00,3.19,6.28,76.83,24.67,1019.62,410.66
22.03.2022 17:00,16.87,0.00,2.65,5.33,74.18,24.67,1019.28,262.58
22.03.2022 18:00,15.27,0.00,2.32,4.88,81.19,25.17,1019.07,102.19
22.03.2022 19:00,9.97,0.00,1.41,2.86,126.94,33.17,1019.08,9.06
22.03.2022 20:00,4.55,0.00,0.67,1.80,113.71,50.83,1019.17,4.96
22.03.2022 21:00,2.22,0.00,0.56,1.49,102.88,66.00,1019.27,6.26
22.03.2022 22:00,0.32,0.00,0.46,1.33,227.77,79.67,1019.32,6.08
22.03.2022 23:00,-1.10,0.00,0.13,0.60,216.14,85.83,1019.34,6.46
23.03.2022 00:00,-2.15,0.00,0.15,0.79,215.55,91.17,1019.16,6.84
23.03.2022 01:00,-2.67,0.00,0.23,0.88,185.79,93.50,1018.93,6.71
23.03.2022 02:00,-3.58,0.00,0.22,0.95,173.60,97.50,1018.73,6.84
23.03.2022 03:00,-4.27,0.00,0.13,0.13,227.26,99.67,1018.51,6.80
23.03.2022 04:00,-4.65,0.00,0.17,0.96,176.01,100.00,1018.30,7.00
23.03.2022 05:00,-5.00,0.00,0.31,1.17,143.30,100.00,1018.40,6.63
23.03.2022 06:00,-5.50,0.00,0.13,0.13,196.54,100.00,1018.49,6.96
23.03.2022 07:00,-5.52,0.00,0.17,0.96,195.48,100.00,1018.59,37.02
23.03.2022 08:00,-0.18,0.00,0.17,0.96,208.87,82.83,1018.69,187.61
23.03.2022 09:00,5.90,0.00,1.17,2.09,262.75,60.67,1018.88,336.98
23.03.2022 10:00,10.92,0.00,1.38,3.10,257.12,42.33,1019.01,472.96
23.03.2022 11:00,14.70,0.00,1.44,4.04,265.05,31.83,1018.98,555.50
23.03.2022 12:00,16.78,0.00,1.55,3.02,259.13,29.67,1018.79,614.19
23.03.2022 13:00,18.08,0.00,1.53,3.47,257.58,27.33,1018.38,631.37
23.03.2022 14:00,19.42,0.00,1.47,3.18,117.36,26.83,1017.70,583.70
23.03.2022 15:00,19.88,0.00,1.59,4.41,210.58,25.33,1017.28,502.05
23.03.2022 16:00,19.60,0.00,1.77,4.32,230.90,25.50,1016.93,390.60
23.03.2022 17:00,18.72,0.00,1.78,3.66,238.03,26.33,1016.63,243.53
23.03.2022 18:00,16.62,0.00,1.56,3.18,63.73,30.33,1016.61,93.97
23.03.2022 19:00,11.57,0.00,0.25,1.33,262.25,40.67,1016.78,11.12
23.03.2022 20:00,6.10,0.00,0.22,1.33,219.44,59.17,1017.02,4.84
23.03.2022 21:00,3.40,0.00,0.23,1.33,221.24,72.33,1017.34,5.88
23.03.2022 22:00,2.10,0.00,0.16,0.79,220.41,82.83,1017.54,6.46
23.03.2022 23:00,1.55,0.00,0.46,1.33,164.21,87.83,1017.67,6.52
24.03.2022 00:00,0.38,0.00,0.56,1.33,170.15,92.00,1017.77,5.76
24.03.2022 01:00,-0.43,0.00,0.46,1.33,238.15,95.50,1017.75,6.43
24.03.2022 02:00,-2.02,0.00,0.18,0.95,237.60,99.17,1017.60,6.10
24.03.2022 03:00,-2.90,0.00,0.13,0.60,214.86,100.00,1017.27,6.56
24.03.2022 04:00,-3.38,0.00,0.14,0.95,205.49,100.00,1017.05,6.66
24.03.2022 05:00,-4.02,0.00,0.18,0.79,169.78,100.00,1017.08,6.08
24.03.2022 06:00,-4.73,0.00,0.15,0.96,160.93,100.00,1017.12,6.43
24.03.2022 07:00,-4.82,0.00,0.17,0.96,137.69,100.00,1017.04,34.88
