date,temp 2m avg,precipitation,wind speed,maximum wind speed,wind direction,humidity,air pressure,global solar radiation
21.06.2022 01:00,10.62,0.00,1.93,3.66,236.51,94.17,1003.37,3.76
21.06.2022 02:00,10.55,0.00,2.43,4.32,258.35,95.00,1003.42,4.07
21.06.2022 03:00,10.37,0.00,2.76,4.80,267.17,95.67,1003.44,3.71
21.06.2022 04:00,9.67,0.00,2.21,4.04,251.74,99.50,1003.40,4.85
21.06.2022 05:00,9.47,0.00,2.37,4.89,244.01,100.00,1003.46,29.98
21.06.2022 06:00,11.17,0.00,2.65,4.96,263.34,96.17,1003.49,166.19
21.06.2022 07:00,13.12,0.00,3.37,5.72,258.14,88.17,1003.82,310.10
21.06.2022 08:00,14.92,0.00,2.81,5.62,256.54,79.00,1004.03,466.30
21.06.2022 09:00,16.23,0.00,3.03,6.38,258.36,71.33,1004.38,533.15
21.06.2022 10:00,17.55,0.00,2.88,6.07,253.40,63.17,1004.42,653.11
21.06.2022 11:00,19.37,0.00,2.92,6.00,250.58,55.00,1004.19,771.66
21.06.2022 12:00,20.85,0.00,2.22,5.43,249.53,50.33,1003.89,889.40
21.06.2022 13:00,21.95,0.00,1.58,4.41,205.48,44.67,1003.49,901.76
21.06.2022 14:00,23.30,0.00,1.76,3.75,246.57,40.00,1002.88,852.93
21.06.2022 15:00,23.98,0.00,1.55,4.41,142.45,35.17,1002.34,694.42
21.06.2022 16:00,24.27,0.00,1.88,3.84,108.15,35.00,1001.82,612.10
21.06.2022 17:00,23.85,0.00,1.76,3.94,86.43,38.17,1001.41,388.10
21.06.2022 18:00,23.55,0.00,1.52,2.92,96.32,38.83,1001.05,318.96
21.06.2022 19:00,22.38,0.00,1.47,3.02,82.97,42.17,1000.91,146.99
21.06.2022 20:00,21.45,0.00,1.22,3.18,118.61,46.00,1000.61,87.84
21.06.2022 21:00,16.57,0.00,0.29,1.32,175.19,74.50,1000.94,8.37
21.06.2022 22:00,12.98,0.00,0.23,1.16,216.55,95.67,1001.10,4.52
21.06.2022 23:00,11.05,0.00,0.18,1.16,197.87,100.00,1001.05,4.94
22.06.2022 00:00,9.77,0.00,0.34,1.54,195.83,100.00,1001.09,4.80
22.06.2022 01:00,9.28,0.00,0.80,1.99,247.19,100.00,1001.53,5.23
22.06.2022 02:00,8.68,0.00,0.60,1.16,162.52,100.00,1001.38,4.94
22.06.2022 03:00,8.35,0.00,0.71,1.54,245.13,100.00,1001.13,5.14
22.06.2022 04:00,7.72,0.00,0.45,1.33,163.70,100.00,1000.65,6.01
22.06.2022 05:00,7.47,0.00,0.51,1.54,192.23,100.00,1000.40,26.47
22.06.2022 06:00,10.70,0.00,1.06,1.99,255.95,96.67,1000.72,150.10
22.06.2022 07:00,14.75,0.00,1.33,2.08,232.96,81.33,1000.98,328.51
22.06.2022 08:00,17.95,0.00,1.50,2.81,249.71,67.83,1001.29,480.14
22.06.2022 09:00,21.10,0.00,1.11,2.27,233.49,53.33,1001.21,609.76
22.06.2022 10:00,23.42,0.00,1.51,3.28,249.78,46.67,1000.90,726.40
22.06.2022 11:00,24.52,0.00,2.11,5.26,239.21,42.33,1000.86,739.72
22.06.2022 12:00,25.83,0.00,2.38,5.26,257.21,38.17,1001.04,876.19
22.06.2022 13:00,26.43,0.00,2.27,5.05,239.57,34.50,1001.08,896.46
22.06.2022 14:00,27.22,0.00,2.14,4.95,247.91,31.33,1000.69,862.36
22.06.2022 15:00,28.07,0.00,2.32,4.95,257.51,30.17,1000.12,775.36
22.06.2022 16:00,28.38,0.00,2.09,4.95,258.18,29.00,999.63,652.46
22.06.2022 17:00,28.70,0.00,1.69,4.50,252.90,29.67,999.40,512.48
22.06.2022 18:00,28.18,0.00,1.36,4.03,239.62,30.50,999.30,366.67
22.06.2022 19:00,27.27,0.00,1.24,3.47,107.72,30.83,999.55,213.42
22.06.2022 20:00,25.42,0.00,0.62,2.45,204.96,34.67,999.79,73.88
22.06.2022 21:00,19.25,0.00,0.12,0.59,252.81,59.67,999.98,9.10
22.06.2022 22:00,15.67,0.00,0.20,1.16,230.58,84.17,1000.44,4.43
22.06.2022 23:00,13.48,0.00,0.26,1.16,197.65,95.00,1000.87,4.79
23.06.2022 00:00,12.53,0.00,0.20,1.16,215.64,97.00,1001.18,5.31
23.06.2022 01:00,11.65,0.00,0.21,0.95,202.20,99.50,1001.39,5.18
23.06.2022 02:00,10.68,0.00,0.23,0.95,221.37,100.00,1001.74,4.77
23.06.2022 03:00,9.73,0.00,0.15,1.16,232.47,100.00,1002.16,4.95
23.06.2022 04:00,9.23,0.00,0.21,1.16,221.54,100.00,1002.24,6.32
23.06.2022 05:00,9.03,0.00,0.25,1.54,222.04,100.00,1002.38,31.05
23.06.2022 06:00,13.22,0.00,0.21,1.16,220.22,87.00,1002.84,164.45
23.06.2022 07:00,17.38,0.00,0.40,1.54,128.33,67.00,1003.20,315.00
23.06.2022 08:00,20.22,0.00,1.30,2.93,88.16,64.50,1003.22,472.85
23.06.2022 09:00,23.00,0.00,1.36,2.71,114.55,55.17,1003.25,605.03
23.06.2022 10:00,25.48,0.00,1.81,4.96,102.35,48.17,1003.03,725.68
23.06.2022 11:00,27.28,0.00,2.56,6.75,80.76,39.17,1002.71,809.80
23.06.2022 12:00,28.60,0.00,2.31,5.26,99.81,33.00,1002.32,871.88
23.06.2022 13:00,29.37,0.00,2.21,5.90,117.69,30.17,1001.97,890.22
23.06.2022 14:00,30.18,0.00,2.36,5.61,94.02,29.33,1001.46,850.44
23.06.2022 15:00,30.52,0.00,2.63,5.88,84.05,28.00,1000.92,761.99
23.06.2022 16:00,30.78,0.00,2.66,6.06,83.00,28.00,1000.40,641.25
23.06.2022 17:00,30.93,0.00,2.61,5.99,76.93,27.17,999.98,509.94
23.06.2022 18:00,30.63,0.00,2.44,6.18,82.79,27.00,999.53,370.35
23.06.2022 19:00,29.90,0.00,1.92,4.41,175.77,28.17,999.17,210.72
23.06.2022 20:00,27.38,0.00,1.59,3.28,55.81,34.17,999.08,73.61
23.06.2022 21:00,23.23,0.00,1.06,2.33,54.63,45.67,999.14,10.26
23.06.2022 22:00,19.45,0.00,0.36,1.32,69.82,67.67,999.11,3.80
23.06.2022 23:00,16.53,0.00,0.12,0.12,179.72,88.67,998.88,4.66
24.06.2022 00:00,14.85,0.00,0.12,0.12,220.41,97.00,998.60,5.13
24.06.2022 01:00,14.17,0.00,0.25,1.89,150.27,98.83,998.39,5.56
24.06.2022 02:00,14.63,0.00,0.47,1.99,82.59,96.50,998.17,6.00
24.06.2022 03:00,15.42,0.00,0.73,2.65,67.96,86.67,997.78,5.57
24.06.2022 04:00,15.82,0.00,1.69,3.66,53.96,85.00,997.39,7.14
24.06.2022 05:00,16.87,0.00,1.80,3.47,65.40,77.67,996.88,42.04
24.06.2022 06:00,18.87,0.00,2.17,3.95,86.56,69.00,996.60,154.67
24.06.2022 07:00,21.77,0.00,1.99,5.62,83.34,59.83,996.56,299.97
24.06.2022 08:00,24.97,0.00,2.79,5.90,104.73,48.67,996.26,451.95
24.06.2022 09:00,26.85,0.00,3.18,6.44,112.99,47.17,995.89,591.58
24.06.2022 10:00,28.15,0.00,3.37,6.92,110.01,47.00,995.50,707.21
24.06.2022 11:00,28.13,0.00,3.21,8.62,146.74,48.17,995.40,478.24
24.06.2022 12:00,23.42,0.70,3.11,7.86,161.19,72.33,996.21,145.75
24.06.2022 13:00,21.18,1.00,1.43,2.71,100.96,89.50,995.88,362.92
24.06.2022 14:00,24.97,0.00,1.72,4.13,133.98,69.50,995.53,566.87
24.06.2022 15:00,25.77,0.00,1.49,3.66,160.93,66.83,995.13,350.36
24.06.2022 16:00,27.78,0.00,2.76,6.37,111.54,53.83,994.41,559.50
24.06.2022 17:00,25.03,0.00,2.69,11.12,164.65,61.17,994.57,54.86
24.06.2022 18:00,22.27,0.10,1.71,7.13,194.10,83.67,994.90,241.72
24.06.2022 19:00,22.52,0.00,1.15,2.26,140.57,85.33,994.86,97.37
24.06.2022 20:00,22.12,0.00,0.83,2.17,155.57,87.33,994.82,61.89
24.06.2022 21:00,20.30,0.00,0.74,1.70,173.70,96.50,995.71,12.52
24.06.2022 22:00,19.27,0.00,1.42,3.09,245.35,100.00,996.35,4.13
24.06.2022 23:00,18.55,0.00,1.30,1.98,224.78,100.00,996.57,4.33
25.06.2022 00:00,18.67,0.00,1.72,3.02,252.21,100.00,996.97,4.64
25.06.2022 01:00,17.93,0.00,1.27,2.20,229.74,100.00,997.29,3.78
25.06.2022 02:00,16.90,0.00,0.97,2.25,240.16,100.00,997.56,4.35
25.06.2022 03:00,16.95,0.00,0.78,2.27,251.01,100.00,998.11,4.50
25.06.2022 04:00,17.00,0.00,1.35,2.55,236.03,100.00,998.36,5.20
25.06.2022 05:00,17.38,0.00,0.97,2.72,216.51,100.00,998.75,21.17
25.06.2022 06:00,19.15,0.00,1.64,4.32,241.04,94.17,999.19,165.25
25.06.2022 07:00,20.98,0.00,2.11,4.41,237.03,85.00,999.88,240.83
25.06.2022 08:00,22.08,0.00,3.43,6.19,264.32,75.50,1000.22,334.06
25.06.2022 09:00,23.77,0.00,3.91,7.30,264.14,65.50,1000.57,559.05
25.06.2022 10:00,25.95,0.00,2.78,6.28,267.62,56.33,1000.60,733.04
25.06.2022 11:00,27.47,0.00,2.12,5.33,246.21,51.00,1000.48,760.13
25.06.2022 12:00,28.07,0.00,1.96,4.50,254.09,47.33,1000.32,826.36
25.06.2022 13:00,28.53,0.00,2.09,5.14,249.64,46.83,1000.29,672.90
25.06.2022 14:00,26.48,0.00,3.39,6.82,230.25,51.17,1000.45,327.58
25.06.2022 15:00,24.85,0.00,1.54,3.47,203.28,58.17,1000.48,133.17
25.06.2022 16:00,26.25,0.00,1.29,2.69,224.49,53.67,1000.19,284.27
25.06.2022 17:00,29.27,0.00,1.34,3.02,219.73,43.83,999.86,495.38
25.06.2022 18:00,30.10,0.00,1.34,3.02,241.54,41.33,999.65,371.64
25.06.2022 19:00,28.88,0.00,1.26,2.64,246.49,44.50,999.62,173.85
25.06.2022 20:00,26.27,0.00,1.00,2.45,268.55,53.83,999.88,49.93
25.06.2022 21:00,22.47,0.00,0.44,1.53,225.69,68.67,1000.29,7.55
25.06.2022 22:00,19.50,0.00,0.63,1.32,189.99,89.33,1000.59,4.03
25.06.2022 23:00,18.07,0.00,0.70,1.70,120.25,96.67,1000.59,4.74
26.06.2022 00:00,16.98,0.00,0.72,2.34,164.28,99.50,1000.73,4.46
