,temp 2m avg,precipitation,wind speed,maximum wind speed,wind direction,humidity,air pressure,global solar radiation
2022-09-23 01:00:00,5.93,0.0,0.52,2.01,57.07,100.0,1009.27,5.1
2022-09-23 02:00:00,4.9,0.0,0.36,1.17,112.24,100.0,1008.87,5.32
2022-09-23 03:00:00,4.2,0.0,0.89,1.54,72.11,100.0,1008.38,5.65
2022-09-23 04:00:00,4.4,0.0,0.88,1.71,57.38,100.0,1007.91,5.47
2022-09-23 05:00:00,4.5,0.0,0.51,1.54,82.29,100.0,1007.43,5.87
2022-09-23 06:00:00,5.07,0.0,0.96,1.9,96.16,100.0,1006.95,6.27
2022-09-23 07:00:00,5.63,0.0,1.02,2.27,74.3,99.17,1006.8,38.23
2022-09-23 08:00:00,9.05,0.0,1.04,2.18,79.77,82.33,1006.63,186.49
2022-09-23 09:00:00,12.98,0.0,1.29,2.09,101.72,63.83,1006.71,275.62
2022-09-23 10:00:00,15.52,0.0,1.27,2.18,96.14,53.83,1006.58,394.93
2022-09-23 11:00:00,17.92,0.0,1.08,2.27,190.32,46.0,1006.23,418.69
2022-09-23 12:00:00,18.9,0.0,1.71,4.41,201.32,41.17,1005.86,516.63
2022-09-23 13:00:00,19.52,0.0,2.08,5.15,200.26,38.0,1005.35,546.83
2022-09-23 14:00:00,19.73,0.0,2.25,5.33,174.43,36.5,1004.75,522.61
2022-09-23 15:00:00,19.17,0.0,1.84,4.58,181.7,38.0,1004.15,286.61
2022-09-23 16:00:00,18.78,0.0,1.54,3.47,179.48,39.17,1003.57,227.29
2022-09-23 17:00:00,17.95,0.0,1.54,4.13,166.5,41.0,1003.21,144.75
2022-09-23 18:00:00,15.38,0.0,0.58,1.8,166.08,56.17,1003.03,35.87
2022-09-23 19:00:00,11.85,0.0,0.12,0.12,215.59,79.5,1002.81,5.68
2022-09-23 20:00:00,11.07,0.0,0.22,1.16,164.3,88.17,1002.87,5.78
2022-09-23 21:00:00,10.63,0.0,0.12,0.12,194.75,93.5,1002.82,5.52
2022-09-23 22:00:00,10.27,0.0,0.19,0.95,165.32,96.5,1002.51,5.54
2022-09-23 23:00:00,10.22,0.0,0.33,1.16,148.49,97.33,1002.13,5.59
2022-09-24 00:00:00,10.0,0.0,0.21,0.95,164.65,98.33,1002.0,5.53
2022-09-24 01:00:00,10.03,0.0,0.35,0.95,109.12,98.83,1001.65,5.58
2022-09-24 02:00:00,10.0,0.0,0.2,0.95,179.27,99.17,1001.25,5.46
2022-09-24 03:00:00,10.0,0.0,0.34,1.33,204.12,100.0,1001.18,5.25
2022-09-24 04:00:00,9.43,0.0,0.2,0.79,182.48,100.0,1000.81,4.75
2022-09-24 05:00:00,8.03,0.0,0.28,1.16,171.92,100.0,1000.56,5.09
2022-09-24 06:00:00,7.55,0.0,0.2,0.95,187.88,100.0,1000.31,5.82
2022-09-24 07:00:00,7.92,0.0,0.54,2.08,218.6,100.0,1000.39,20.88
2022-09-24 08:00:00,9.75,0.0,0.67,1.33,253.41,95.5,1000.62,103.67
2022-09-24 09:00:00,12.32,0.0,0.59,1.71,227.89,82.17,1000.7,162.22
2022-09-24 10:00:00,14.92,0.0,1.02,2.08,242.74,68.83,1000.88,290.55
2022-09-24 11:00:00,17.48,0.0,0.93,2.17,140.13,55.67,1001.02,438.38
2022-09-24 12:00:00,19.48,0.0,1.14,2.27,143.36,44.67,1000.85,576.1
2022-09-24 13:00:00,19.67,0.0,1.19,2.71,134.93,43.0,1000.63,431.7
2022-09-24 14:00:00,20.68,0.0,1.34,3.02,161.92,41.67,1000.29,493.56
2022-09-24 15:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-24 16:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-24 17:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-24 18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-24 19:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-24 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-24 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-24 22:00:00,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0
2022-09-24 23:00:00,11.83,0.0,0.0,0.0,0.0,100.0,0.0,0.0
2022-09-25 00:00:00,11.7,0.0,0.75,1.5,226.69,100.0,1001.0,5.23
2022-09-25 01:00:00,11.47,0.0,0.43,1.54,251.23,100.0,1000.9,4.79
2022-09-25 02:00:00,10.45,0.0,0.46,1.16,236.42,100.0,1000.78,4.99
2022-09-25 03:00:00,10.4,0.0,0.44,1.71,250.0,100.0,1000.42,5.25
2022-09-25 04:00:00,10.52,0.0,1.28,2.34,240.05,100.0,1000.44,4.56
2022-09-25 05:00:00,10.07,0.0,0.89,2.18,202.52,100.0,1000.47,4.42
2022-09-25 06:00:00,9.7,0.0,1.12,1.89,225.9,100.0,1000.38,5.34
2022-09-25 07:00:00,9.58,0.0,1.1,1.71,254.63,100.0,1000.42,23.52
2022-09-25 08:00:00,9.93,0.0,0.9,1.96,246.97,100.0,1000.34,111.3
