,temp 2m avg,precipitation,wind speed,maximum wind speed,wind direction,humidity,air pressure,global solar radiation
2022-03-20 01:00:00,1.72,0.0,1.99,5.63,74.03,61.0,1025.44,4.3
2022-03-20 02:00:00,-0.93,0.0,0.7,3.76,149.54,71.0,1025.28,4.03
2022-03-20 03:00:00,-2.95,0.0,0.42,2.09,150.32,82.5,1024.76,6.13
2022-03-20 04:00:00,-2.02,0.0,1.18,3.67,106.55,79.33,1024.11,6.71
2022-03-20 05:00:00,-0.1,0.0,2.1,4.59,82.68,69.33,1023.74,5.01
2022-03-20 06:00:00,-0.58,0.0,1.76,4.59,82.54,71.0,1023.44,4.8
2022-03-20 07:00:00,-1.28,0.0,1.32,4.04,119.36,74.0,1023.4,19.26
2022-03-20 08:00:00,0.1,0.0,1.33,3.41,103.29,70.17,1023.58,144.87
2022-03-20 09:00:00,3.42,0.0,2.78,7.14,93.51,58.0,1023.57,316.18
2022-03-20 10:00:00,6.32,0.0,3.64,7.39,93.06,49.5,1023.35,459.89
2022-03-20 11:00:00,9.02,0.0,4.76,10.86,95.26,41.0,1022.84,545.41
2022-03-20 12:00:00,10.48,0.0,5.71,11.59,97.24,36.0,1022.29,602.22
2022-03-20 13:00:00,11.33,0.0,5.84,13.13,97.52,33.33,1021.97,616.21
2022-03-20 14:00:00,12.57,0.0,5.88,13.74,104.85,30.83,1021.27,585.01
2022-03-20 15:00:00,13.33,0.0,6.08,12.35,107.96,27.33,1020.72,494.72
2022-03-20 16:00:00,12.98,0.0,5.34,10.93,100.79,27.33,1020.75,378.17
2022-03-20 17:00:00,12.45,0.0,5.39,10.86,105.28,29.0,1020.67,233.33
2022-03-20 18:00:00,11.78,0.0,4.32,9.54,104.73,29.17,1020.54,88.48
2022-03-20 19:00:00,10.27,0.0,3.81,8.76,103.09,31.0,1020.54,10.91
2022-03-20 20:00:00,8.87,0.0,3.01,8.05,95.47,33.33,1020.87,3.01
2022-03-20 21:00:00,7.55,0.0,2.78,6.28,93.12,36.33,1021.28,3.46
2022-03-20 22:00:00,6.45,0.0,3.21,6.76,104.85,39.67,1021.36,3.43
2022-03-20 23:00:00,5.2,0.0,2.6,5.43,102.64,44.67,1021.46,4.05
2022-03-21 00:00:00,4.17,0.0,2.44,4.68,107.11,48.33,1021.55,3.79
2022-03-21 01:00:00,2.75,0.0,2.43,4.21,84.39,55.5,1021.56,4.13
2022-03-21 02:00:00,1.23,0.0,2.08,3.57,64.71,66.67,1021.36,4.74
2022-03-21 03:00:00,1.22,0.0,2.08,4.14,68.02,71.17,1021.29,5.08
2022-03-21 04:00:00,1.13,0.0,2.56,4.33,78.29,73.0,1021.23,4.7
2022-03-21 05:00:00,0.57,0.0,2.18,4.04,70.64,74.83,1021.16,4.52
2022-03-21 06:00:00,-0.2,0.0,2.31,4.21,64.56,78.33,1021.23,4.88
2022-03-21 07:00:00,-0.55,0.0,2.45,4.68,63.74,81.67,1021.53,25.6
2022-03-21 08:00:00,1.3,0.0,2.65,5.44,82.52,75.5,1021.92,147.63
2022-03-21 09:00:00,4.02,0.0,3.1,6.66,94.38,63.33,1022.14,312.23
2022-03-21 10:00:00,6.32,0.0,3.7,7.3,105.46,54.0,1022.33,447.62
2022-03-21 11:00:00,8.3,0.0,3.88,8.69,107.77,47.33,1022.19,533.08
2022-03-21 12:00:00,10.22,0.0,3.56,7.13,101.91,44.67,1021.97,586.23
2022-03-21 13:00:00,11.58,0.0,3.7,7.2,102.33,42.0,1021.72,604.63
2022-03-21 14:00:00,12.8,0.0,3.49,7.2,101.88,39.67,1021.38,571.89
2022-03-21 15:00:00,13.45,0.0,3.74,7.39,101.65,37.17,1021.08,489.05
2022-03-21 16:00:00,13.62,0.0,3.36,6.54,105.84,35.33,1020.85,382.82
2022-03-21 17:00:00,13.25,0.0,2.94,6.19,106.21,34.33,1020.67,237.61
