,temp 2m avg,precipitation,wind speed,maximum wind speed,wind direction,humidity,air pressure,global solar radiation
2022-06-21 01:00:00,10.62,0.0,1.93,3.66,236.51,94.17,1003.37,3.76
2022-06-21 02:00:00,10.55,0.0,2.43,4.32,258.35,95.0,1003.42,4.07
2022-06-21 03:00:00,10.37,0.0,2.76,4.8,267.17,95.67,1003.44,3.71
2022-06-21 04:00:00,9.67,0.0,2.21,4.04,251.74,99.5,1003.4,4.85
2022-06-21 05:00:00,9.47,0.0,2.37,4.89,244.01,100.0,1003.46,29.98
2022-06-21 06:00:00,11.17,0.0,2.65,4.96,263.34,96.17,1003.49,166.19
2022-06-21 07:00:00,13.12,0.0,3.37,5.72,258.14,88.17,1003.82,310.1
2022-06-21 08:00:00,14.92,0.0,2.81,5.62,256.54,79.0,1004.03,466.3
2022-06-21 09:00:00,16.23,0.0,3.03,6.38,258.36,71.33,1004.38,533.15
2022-06-21 10:00:00,17.55,0.0,2.88,6.07,253.4,63.17,1004.42,653.11
2022-06-21 11:00:00,19.37,0.0,2.92,6.0,250.58,55.0,1004.19,771.66
2022-06-21 12:00:00,20.85,0.0,2.22,5.43,249.53,50.33,1003.89,889.4
2022-06-21 13:00:00,21.95,0.0,1.58,4.41,205.48,44.67,1003.49,901.76
2022-06-21 14:00:00,23.3,0.0,1.76,3.75,246.57,40.0,1002.88,852.93
2022-06-21 15:00:00,23.98,0.0,1.55,4.41,142.45,35.17,1002.34,694.42
2022-06-21 16:00:00,24.27,0.0,1.88,3.84,108.15,35.0,1001.82,612.1
2022-06-21 17:00:00,23.85,0.0,1.76,3.94,86.43,38.17,1001.41,388.1
2022-06-21 18:00:00,23.55,0.0,1.52,2.92,96.32,38.83,1001.05,318.96
2022-06-21 19:00:00,22.38,0.0,1.47,3.02,82.97,42.17,1000.91,146.99
2022-06-21 20:00:00,21.45,0.0,1.22,3.18,118.61,46.0,1000.61,87.84
2022-06-21 21:00:00,16.57,0.0,0.29,1.32,175.19,74.5,1000.94,8.37
2022-06-21 22:00:00,12.98,0.0,0.23,1.16,216.55,95.67,1001.1,4.52
2022-06-21 23:00:00,11.05,0.0,0.18,1.16,197.87,100.0,1001.05,4.94
2022-06-22 00:00:00,9.77,0.0,0.34,1.54,195.83,100.0,1001.09,4.8
2022-06-22 01:00:00,9.28,0.0,0.8,1.99,247.19,100.0,1001.53,5.23
2022-06-22 02:00:00,8.68,0.0,0.6,1.16,162.52,100.0,1001.38,4.94
2022-06-22 03:00:00,8.35,0.0,0.71,1.54,245.13,100.0,1001.13,5.14
2022-06-22 04:00:00,7.72,0.0,0.45,1.33,163.7,100.0,1000.65,6.01
2022-06-22 05:00:00,7.47,0.0,0.51,1.54,192.23,100.0,1000.4,26.47
2022-06-22 06:00:00,10.7,0.0,1.06,1.99,255.95,96.67,1000.72,150.1
2022-06-22 07:00:00,14.75,0.0,1.33,2.08,232.96,81.33,1000.98,328.51
2022-06-22 08:00:00,17.95,0.0,1.5,2.81,249.71,67.83,1001.29,480.14
2022-06-22 09:00:00,21.1,0.0,1.11,2.27,233.49,53.33,1001.21,609.76
2022-06-22 10:00:00,23.42,0.0,1.51,3.28,249.78,46.67,1000.9,726.4
2022-06-22 11:00:00,24.52,0.0,2.11,5.26,239.21,42.33,1000.86,739.72
2022-06-22 12:00:00,25.83,0.0,2.38,5.26,257.21,38.17,1001.04,876.19
2022-06-22 13:00:00,26.43,0.0,2.27,5.05,239.57,34.5,1001.08,896.46
2022-06-22 14:00:00,27.22,0.0,2.14,4.95,247.91,31.33,1000.69,862.36
2022-06-22 15:00:00,28.07,0.0,2.32,4.95,257.51,30.17,1000.12,775.36
2022-06-22 16:00:00,28.38,0.0,2.09,4.95,258.18,29.0,999.63,652.46
2022-06-22 17:00:00,28.7,0.0,1.69,4.5,252.9,29.67,999.4,512.48
2022-06-22 18:00:00,28.18,0.0,1.36,4.03,239.62,30.5,999.3,366.67
2022-06-22 19:00:00,27.27,0.0,1.24,3.47,107.72,30.83,999.55,213.42
2022-06-22 20:00:00,25.42,0.0,0.62,2.45,204.96,34.67,999.79,73.88
2022-06-22 21:00:00,19.25,0.0,0.12,0.59,252.81,59.67,999.98,9.1
2022-06-22 22:00:00,15.67,0.0,0.2,1.16,230.58,84.17,1000.44,4.43
2022-06-22 23:00:00,13.48,0.0,0.26,1.16,197.65,95.0,1000.87,4.79
2022-06-23 00:00:00,12.53,0.0,0.2,1.16,215.64,97.0,1001.18,5.31
2022-06-23 01:00:00,11.65,0.0,0.21,0.95,202.2,99.5,1001.39,5.18
2022-06-23 02:00:00,10.68,0.0,0.23,0.95,221.37,100.0,1001.74,4.77
2022-06-23 03:00:00,9.73,0.0,0.15,1.16,232.47,100.0,1002.16,4.95
2022-06-23 04:00:00,9.23,0.0,0.21,1.16,221.54,100.0,1002.24,6.32
2022-06-23 05:00:00,9.03,0.0,0.25,1.54,222.04,100.0,1002.38,31.05
2022-06-23 06:00:00,13.22,0.0,0.21,1.16,220.22,87.0,1002.84,164.45
2022-06-23 07:00:00,17.38,0.0,0.4,1.54,128.33,67.0,1003.2,315.0
2022-06-23 08:00:00,20.22,0.0,1.3,2.93,88.16,64.5,1003.22,472.85
2022-06-23 09:00:00,23.0,0.0,1.36,2.71,114.55,55.17,1003.25,605.03
2022-06-23 10:00:00,25.48,0.0,1.81,4.96,102.35,48.17,1003.03,725.68
2022-06-23 11:00:00,27.28,0.0,2.56,6.75,80.76,39.17,1002.71,809.8
2022-06-23 12:00:00,28.6,0.0,2.31,5.26,99.81,33.0,1002.32,871.88
2022-06-23 13:00:00,29.37,0.0,2.21,5.9,117.69,30.17,1001.97,890.22
2022-06-23 14:00:00,30.18,0.0,2.36,5.61,94.02,29.33,1001.46,850.44
2022-06-23 15:00:00,30.52,0.0,2.63,5.88,84.05,28.0,1000.92,761.99
2022-06-23 16:00:00,30.78,0.0,2.66,6.06,83.0,28.0,1000.4,641.25
2022-06-23 17:00:00,30.93,0.0,2.61,5.99,76.93,27.17,999.98,509.94
